model,p,raw_text,status,flip_1,flip_2
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
anthropic/claude-4.5-sonnet,15,0 0,success,0,0
